ID_Commercant,Zone_Dakar,Secteur_Activite,Volume_Mensuel_FCFA,Evolution_Ventes_3M_Pct,Nb_Transferts_Recus_Mois,Anciennete_Mois,Defaut_Paiement
SN-0000,Ouakam,Services,1869088.0,-30.88344460313212,58,15.0,0
SN-0001, Pikine ,Alimentation,1904803.0,7.824275129269234,82,19.0,1
SN-0002,Marche Sandaga,Habillement,135172.0,-14.70135513777155,152,61.0,1
SN-0003,Guediawaye,Alimentation,974142.0,-8.021694459166675,93,26.0,0
SN-0004,Parcelles Assainies,Services,1100420.0,-19.373452921684397,140,13.0,1
SN-0005,Medina,Électronique,1380710.0,8.503600818298585,42,99.0,0
SN-0006,Medina,Alimentation,720156.0,,114,48.0,0
SN-0007,Medina,Habillement,842781.0,-0.3522434780285669,75,78.0,0
SN-0008,Pikine,Alimentation,427016.0,-7.917997466600633,166,72.0,0
SN-0009,Ouakam,Restauration,1688835.0,-48.839974073245514,163,16.0,0
SN-0010, Pikine ,Services,906577.0,7.571985409344856,135,6.0,1
SN-0011,Yoff,Habillement,1456290.0,2.1976293860504628,93,84.0,0
SN-0012,Marche Sandaga,Habillement,1596030.0,-20.097610629445363,18,112.0,0
SN-0013, Pikine ,Habillement,355173.0,-6.055146091000917,1,92.0,0
SN-0014,Yoff,Restauration,398233.0,-7.555048478404986,125,48.0,1
SN-0015,PIKINE,Électronique,1618618.0,3.6426966860856997,5,53.0,0
SN-0016, Pikine ,Alimentation,364345.0,36.87836559437817,159,101.0,0
SN-0017,Marche Sandaga,Restauration,634060.0,16.89709602257695,12,22.0,0
SN-0018,Marche Sandaga,Électronique,1636997.0,-23.492609332293235,15,103.0,0
SN-0019,Yoff,Habillement,1577228.0,-12.691062487794182,138,42.0,0
SN-0020,Guediawaye,nan,1932322.0,-27.765869178167897,131,67.0,0
SN-0021,Ouakam,Services,759355.0,-43.047796695989355,34,112.0,0
SN-0022, Pikine ,Habillement,360004.0,,49,90.0,0
SN-0023,Medina,Alimentation,1328939.0,-1.8433587695195983,16,25.0,1
SN-0024,Parcelles Assainies,Restauration,1823837.0,32.03702045001326,120,35.0,0
SN-0025,Ouakam,Restauration,790810.0,22.029111807020335,140,92.0,0
SN-0026,Marche Sandaga,Habillement,1942477.0,14.25564097667787,29,101.0,0
SN-0027,Medina,Services,1652401.0,14.985870667302272,86,64.0,0
SN-0028,PIKINE,Services,1131870.0,25.028839232628304,87,3.0,0
SN-0029,PIKINE,Services,806753.0,-22.058259305880462,31,111.0,0
SN-0030,Ouakam,Restauration,1114821.0,13.654931389042435,190,48.0,0
SN-0031,Pikine,Services,1832263.0,-6.4242377982917,51,112.0,0
SN-0032,Medina,Restauration,442579.0,-41.03934669422842,67,81.0,1
SN-0033,Ouakam,Alimentation,737385.0,2.2959925227001343,133,118.0,0
SN-0034,Medina,Alimentation,502454.0,1.9428492318243562,142,26.0,0
SN-0035,Marche Sandaga,Restauration,1026647.0,-6.749140021384172,147,84.0,0
SN-0036,Medina,Alimentation,1698158.0,17.082114902757194,70,58.0,0
SN-0037,Guediawaye,Habillement,469194.0,13.817790767063528,118,52.0,0
SN-0038,Marché Sandaga,Alimentation,140387.0,9.178010514352364,190,112.0,1
SN-0039,Marché Sandaga,Alimentation,681326.0,-22.258224936722822,19,79.0,0
SN-0040,Marché Sandaga,Habillement,1745665.0,28.644397066417678,34,77.0,0
SN-0041,Medina,Alimentation,1846027.0,-2.0176858880770574,128,25.0,0
SN-0042,Medina,Alimentation,1185400.0,-70.12225321531596,64,12.0,0
SN-0043,Pikine,Électronique,147577.0,-29.679665995344415,124,36.0,1
SN-0044,Medina,Restauration,958081.0,8.73319982141224,146,51.0,0
SN-0045, Pikine ,Électronique,751236.0,15.725525717688447,78,102.0,0
SN-0046,Marche Sandaga,Alimentation,386908.0,4.5311759020273366,116,88.0,0
SN-0047, Pikine ,Habillement,452514.0,-1.6562636077781903,51,16.0,1
SN-0048,Guediawaye,Restauration,567565.0,24.00271176585463,132,64.0,0
SN-0049, Pikine ,Électronique,1578311.0,6.711533871359051,33,101.0,0
SN-0050,PIKINE,Habillement,270814.0,-11.112910462025381,120,100.0,0
SN-0051,Parcelles Assainies,Habillement,1235840.0,35.643557313639484,147,60.0,0
SN-0052,Marché Sandaga,Habillement,1317768.0,26.44818059459425,32,2.0,0
SN-0053,Yoff,Services,308960.0,,169,119.0,0
SN-0054,Ouakam,Électronique,1432949.0,5.568280232869872,15,52.0,0
SN-0055,Yoff,Services,1856775.0,0.6522833162308799,196,55.0,0
SN-0056,Parcelles Assainies,nan,891954.0,10.746142526956605,90,102.0,0
SN-0057, Pikine ,Électronique,1705498.0,-14.02014000706107,178,7.0,1
SN-0058,Yoff,Services,1016924.0,-53.593560842664935,137,22.0,0
SN-0059, Pikine ,Alimentation,1305013.0,9.437309530500267,171,50.0,1
SN-0060,Ouakam,Services,186028.0,-0.7859841794414759,32,64.0,0
SN-0061, Pikine ,Alimentation,331179.0,1.9437622418702376,94,39.0,0
SN-0062,PIKINE,Alimentation,1468192.0,,118,0.0,0
SN-0063,Parcelles Assainies,Alimentation,1668343.0,-8.717327283961348,131,79.0,0
SN-0064,Ouakam,Restauration,1162269.0,-0.3720001127883455,17,41.0,0
SN-0065,Pikine,Habillement,1017304.0,14.400907629043058,179,38.0,0
SN-0066,Marche Sandaga,Habillement,1134832.0,-22.163838788741252,56,58.0,0
SN-0067,PIKINE,Électronique,1669147.0,-44.020013210286,187,65.0,0
SN-0068,Ouakam,Restauration,301855.0,-10.668710749119034,194,61.0,1
SN-0069,Marche Sandaga,Électronique,642627.0,-12.908181016227012,119,61.0,1
SN-0070,Parcelles Assainies,Services,1751509.0,-29.97034676823705,128,57.0,0
SN-0071,Parcelles Assainies,Électronique,479157.0,-16.924227476090273,149,71.0,0
SN-0072,Marché Sandaga,Électronique,1959821.0,2.7003430726351336,12,49.0,0
SN-0073,Marché Sandaga,Alimentation,786090.0,-17.677672559034292,95,101.0,1
SN-0074,PIKINE,Services,9488.0,-21.356001469652327,57,62.0,1
SN-0075,Ouakam,Alimentation,548950.0,14.56289878489148,39,92.0,0
SN-0076,Medina,Alimentation,958049.0,27.247511241800705,57,34.0,0
SN-0077,Yoff,Restauration,760666.0,18.04585893723912,113,60.0,0
SN-0078,Marche Sandaga,Alimentation,855540.0,-26.136742902618796,74,30.0,1
SN-0079,Parcelles Assainies,Alimentation,1318390.0,20.22046914530788,2,24.0,0
SN-0080, Pikine ,Restauration,918214.0,-22.380714861390384,143,8.0,0
